Title,Description
'Ambrette Seed',"Ambrette is a plant. The seed of the plant, typically prepared as a tea, is used to make medicine. Oil from the ambrette seed has a musky aroma. Orally, ambrette is used for stomach and intestinal disorders such as constipation, nausea, vomiting, upset stomach (dyspepsia), stomachcramps, loss of appetite, and stomach cancer. It is also used orally for snakebites, headaches, depression, muscle spasms, arthritis, urinary incontinence, anxiety, sexual problems, gonorrhea, fluid retention, heart failure, and lung problems. In foods, ambrette is an ingredient in vermouths, bitters, and other products.In manufacturing, ambrette is used in perfumes, colognes, soaps, detergents, creams, and lotions. It has a musky fragrance."
'Apple Cinnamon Granola',"Packed with rolled oats, almonds, sunflower seeds, pumpkin seeds, flax seeds, ginger powder, cinnamon powder, freeze dried apple, our apple cinnamon granola is an excellent choice for everyone. With a crunchy base, warming ginger flavour, and undertones of cinnamon, our baked granola is a perfect snack to eat any time. Our breakfast cereal has the protein of a glass of milk and the fiber of one entire apple. Rich is good fats, protein, and fibre, it keeps you energized throughout the day. It contains zero cholesterol and trans-fat to ensure wellness from the inside out. Made from plant-based ingredients, our granola is 100% natural to ensure the best for your health. It�s vegetarian, gluten-free, dairy-free, and egg-free to suit everyone�s lifestyle. There are no added preservatives, refined sugar, or artificial flavours in our granola. If you are looking for a healthy alternative, our granola is the ideal go-to snack for midday cravings.Treat your tastebuds with a bowl of granola that can be enjoyed with milk, yogurt, smoothies, or anything else you want. Sprinkle on top of the bowl along with your favorite mix of fruits, seeds, and nuts. Viola! Your gourmet treat is ready. Our granola pack is resealable that can be stored in a cool & dry place to maintain its freshness and crunchiness."
'Arizona Seasoning',"Arizona Dreaming is simply a delicious all-purpose coming together of spices. The flavors of South of the Border combined in the ways that Americans love so much. Great for just about everything, use frequently to season: vegetables, rice, beans, beef, pork, scrambled huevos, ground turkey, cheese, salad dressings. Free from salt.Hand-mixed from: ancho chili pepper, black pepper, onion, garlic, paprika, spices, cumin, citric acid, Mexican oregano, cilantro, lemon peel, chipotle pepper, red pepper, jalape�o, cocoa and natural smoke flavoring."
Americano Coffee',"Type of coffee drink prepared by diluting an espresso with hot water, giving it a similar strength to, but different flavor from, traditionally brewed coffee. Its strength varies with the number of shots of espresso and amount of water added. The name is also spelled with varying capitalization and use of diacritics. Americanos�particularly short, long-black-style Americanos�are also used within artisanal espresso preparation for beans that produce strong espresso. This is particularly used for single origin espresso, where many find that undiluted espresso shots can prove overpowering; and with lighter coffees and roasts not generally associated with espresso, such as beans of Ethiopian or Sumatran origins. For this preparation, generally a ratio of 1:1 espresso to water is used, to prevent excess dilution, with the espresso pulled directly into a cup with existing water to minimize disruption to the crema."
'Baby Abalone'," is a common name for any of a group of small to very large marine gastropod molluscs in the family Haliotidae. Other common names are ear shells, sea ears, and, rarely, muttonfish or muttonshells in parts of Australia, ormer in the UK, perlemoen in South Africa, and the Maori name for three species in New Zealand is p?ua. Abalones are marine snails. Their taxonomy puts them in the family Haliotidae, which contains only one genus, Haliotis, which once contained six subgenera. These subgenera have become alternate representations of Haliotis. The number of species recognized worldwide ranges between 30 and 130 with over 230 species-level taxa described. The most comprehensive treatment of the family considers 56 species valid, with 18 additional subspecies. The shells of abalones have a low, open spiral structure, and are characterized by several open respiratory pores in a row near the shell's outer edge. The thick inner layer of the shell is composed of nacre (mother-of-pearl), which in many species is highly iridescent, giving rise to a range of strong, changeable colors which make the shells attractive to humans as decorative objects, jewelry, and as a source of colorful mother-of-pearl."
'Cadbury Double Decker Chocolate Bar',"The chocolate bar is structured in two layers; a lightly-whipped nougat layer, with a lower layer of cereal 'crispies', these are then coated in milk chocolate. Originally the bar contained raisins within the base layer; however, consumer research in the mid-1980s led to these being removed and the current formulation being introduced. Television adverts in the 1970s featured Willie Rushton before a mascot named Dougie the Double Decker Dog was introduced.The bar has a mass of approximately 54.5g  although multipack bars are smaller at 37.3g. This increased from 42g in the 1970s and 51g in the 1980s, to a peak of 60g before attaining the current weight. It typically contains 9.9g of fat, 38g of carbohydrates, 2.3g of protein and 1060kJ (250kcal) of energy. The Double Decker no longer contains hydrogenated oil. The bar is manufactured in Poland. There also existed a 'Double Decker � Nuts' launched in 2004, which had the advertising slogan ""crispy, crunchy, chewy and nutty"". This chocolate bar was essentially a Double Decker with nuts contained within the nougat layer; however, it has since been discontinued. At the time it was distinctly aimed at males, and featured in Coronation Street credits during 2004. In August 2016 Cadbury launched Dinky Deckers as part of the Bite Size bag range which are mini Cadbury Double Deckers available in a 120g pouch bag."
Campari Tomato',"Campari is a type of hybrid tomato noted for its juiciness, high sugar level, low acidity, and lack of mealiness. Camparis are deep red and larger than a pear or cherry tomato, but smaller and rounder than common plum tomatoes. They are often sold as ""tomato-on-the-vine"" (TOV) in supermarkets, a category of tomato that has become increasingly popular over the years. Campari tomatoes can be produced from different varieties with similar characteristics, the standard being Mountain Magic. As a hybrid, the seeds cost around $150,000 per pound. The company Mastronardi Produce registered the term ""Campari"" as a United States trademark for its tomatoes in 2003; however, the trademark was challenged in 2006 based on claims that ""Campari"" is actually the general name for the tomato variety bred in the 1990s by the Dutch company Enza Zaden"
Celery Soup',"Combine celery, potato, onion, and butter in a medium saucepan over medium heat; season with kosher salt. Cook, stirring, until onion is tender, 8�10 minutes. Add broth; simmer until potatoes are tender, 8�10 minutes. Pur�e in a blender with dill; strain. Stir in cream. Serve soup topped with celery leaves, sea salt, and oil."
Chia Meal',"Chia seeds may be added to other foods as a topping or put into smoothies, breakfast cereals, energy bars, granola bars, yogurt, tortillas, and bread. They also may be made into a gelatin-like substance or consumed raw. The gel from ground seeds may be used in place of eggs in cakes while providing other nutrients, and is a common substitute in vegan and allergen-free baking. Unlike flax seeds, whole chia seeds do not need to be ground because the seed coat is delicate and readily digested, possibly improving nutrient bioavailability."
'Crunch Bars',"Crunch is a chocolate bar made of milk chocolate and crisped rice. It is produced globally by Nestl� with the exception of the United States, where it is produced under license by the Ferrara Candy Company, a subsidiary of Ferrero"
Cardamom',"Cardamom has a strong, unique taste, with an intensely aromatic, resinous fragrance. Black cardamom has a distinctly more smoky, though not bitter, aroma, with a coolness some consider similar to mint. Green cardamom is one of the most expensive spices by weight[16] but little is needed to impart flavour. It is best stored in the pod, as exposed or ground seeds quickly lose their flavour. Grinding the pods and seeds together lowers both the quality and the price. For recipes requiring whole cardamom pods, a generally accepted equivalent is 10 pods equals 1+1?2 teaspoons of ground cardamom. Cardamom is a common ingredient in Indian cooking. It is also often used in baking in the Nordic countries, in particular in Sweden, Norway, and Finland, where it is used in traditional treats such as the Scandinavian Yule bread Julekake, the Swedish kardemummabullar sweet bun, and Finnish sweet bread pulla. In the Middle East, green cardamom powder is used as a spice for sweet dishes, as well as traditional flavouring in coffee and tea. Cardamom is used to a wide extent in savoury dishes. In some Middle Eastern countries, coffee and cardamom are often ground in a wooden mortar, a mihbaj, and cooked together in a skillet, a mehmas, over wood or gas, to produce mixtures as much as 40% cardamom. In Asia, both types of cardamom are widely used in both sweet and savory dishes, particularly in the south. Both are frequent components in spice mixes, such as Indian and Nepali masalas and Thai curry pastes. Green cardamom is often used in traditional Indian sweets and in masala chai (spiced tea). Both are also often used as a garnish in basmati rice and other dishes. Individual seeds are sometimes chewed and used in much the same way as chewing gum. It is used by confectionery giant Wrigley; its Eclipse Breeze Exotic Mint packaging indicates the product contains ""cardamom to neutralize the toughest breath odors"". It is also included in aromatic bitters, gin, and herbal teas."
'Giardiniera',"The Italian version includes bell peppers, celery, carrots, cauliflower and gherkins. The pickled vegetables are marinated in oil, red- or white-wine vinegar, herbs and spices. Chicago-style giardiniera is commonly made spicy with sport peppers or chili flakes, along with a combination of assorted vegetables, including bell peppers, celery, carrots, cauliflower, and sometimes gherkins or olives all marinated in vegetable oil, olive oil, soybean oil, or any combination of the three. Some commercially prepared versions are labeled ""Chicago-style giardiniera""."
'Hog Maw',"Hog maw is the stomach of a pig. More specifically, it is the exterior muscular wall of the stomach organ (with interior, lining mucosa removed) which contains no fat if cleaned properly. It can be found in American, Soul Food, Chinese, Pennsylvania Dutch, Mexican, Portuguese and Italian dishes. In addition, it can be prepared in various ways including stewed, fried, baked, and broiled."
Mccormick Montreal Steak Seasoning',"Montreal steak seasoning, also known as Montreal steak spice, Canadian steak seasoning, or Canadian steak spice, is a spice mix used to flavour steak and grilled meats. It is based on the dry-rub mix used in preparing Montreal smoked meat, which comes from the Romanian pastram? (the ancestor of pastrami), introduced to Montreal by Romanian Jewish immigrants. The primary constituents of Montreal steak seasoning include garlic, coriander, black pepper, cayenne pepper flakes, dill seed, and salt. The spice mix recipe varies slightly among restaurants and manufacturers."
'Muesli',"is a cold breakfast dish, the primary ingredient of which is rolled oats, which is set to soak overnight and eaten the next morning. Most often, additional ingredients such as grains, nuts, seeds, and fresh or dried fruits, are added, along with milk or cream, a squeeze of citrus juice and, often, honey to sweeten. Yoghurt or other mammal or plant milk products are now commonly added to both homemade and commercially packaged muesli recipes."
'Mulberry',"As the fruit matures, mulberries change in texture and color, becoming succulent, plump, and juicy, resembling a blackberry. The color of the fruit does not distinguish the mulberry species, as mulberries may be white, lavender or black in color. White mulberry fruits are typically sweet, but not tart, while red mulberries are usually deep red, sweet, and juicy. Black mulberries are large and juicy, with balanced sweetness and tartness. The fruit of the East Asian white mulberry � a species extensively naturalized in urban regions of eastern North America � has a different flavor, sometimes characterized as refreshing and a little tart, with a bit of gumminess to it and a hint of vanilla. In North America, the white mulberry is considered an invasive exotic and has taken over extensive tracts from native plant species, including the red mulberry. Mulberries are used in pies, tarts, wines, cordials, and herbal teas. The fruit of the black mulberry (native to southwest Asia) and the red mulberry (native to eastern North America) have distinct flavors likened to 'fireworks in the mouth'. Jams and sherbets are often made from the fruit in the Old World."
'Munch Chocolate',"Sugar, Wheat flour (Maida), Hydrogenated vegetable fats (contain sesame oil), Milk solids, Cocoa solids (3.7%), Emulsifier (Soya lecithin), Leavening agent (500 (ii)), Yeast, Salt, Flour treatment agent (516) and improver (Enzymes)."
Murukku Packet',"is a savoury, crunchy snack originating from the�Indian subcontinent. The name�murukku�derives from the�Tamil�word for ""twisted"", which refers to its shape.�In India, murukku is especially popular in the states of�Andhra Pradesh,�Tamil Nadu,�Karnataka, and�Kerala. It is called�murkulu or janthukulu�in�Andhra Pradesh. It is also popular in countries with substantial presence of Indian and Sri Lankan diaspora, including�Singapore,�Fiji,�Malaysia, and�Myanmar�(Burma). Murukku, called�sagalay gway�(?????????;�lit.?'baby sparrow coils') in�Burmese, is a common snack and is used as a topping for a regional dish called�dawei�mont di."
Mango',"Mangoes are used in many cuisines. Sour, unripe mangoes are used in chutneys (i.e. Mango chutney), pickles, daals and other side dishes in Bengali cuisine. A summer drink called aam panna is made with mangoes. Mango pulp made into jelly or cooked with red gram dhal and green chillies may be served with cooked rice. Mango lassi is popular throughout South Asia,[37] prepared by mixing ripe mangoes or mango pulp with buttermilk and sugar. Ripe mangoes are also used to make curries. Aamras is a popular thick juice made of mangoes with sugar or milk, and is consumed with chapatis or pooris. The pulp from ripe mangoes is also used to make jam called mangada. Andhra aavakaaya is a pickle made from raw, unripe, pulpy, and sour mango, mixed with chili powder, fenugreek seeds, mustard powder, salt, and groundnut oil. Mango is also used in Andhra Pradesh to make dahl preparations. Gujaratis use mango to make chunda (a sweet and spicy, grated mango delicacy). Mangoes are used to make murabba (fruit preserves), muramba (a sweet, grated mango delicacy), amchur (dried and powdered unripe mango), and pickles, including a spicy mustard-oil pickle and alcohol. Ripe mangoes are often cut into thin layers, desiccated, folded, and then cut. These bars are similar to dried guava fruit bars available in some countries. The fruit is also added to cereal products such as muesli and oat granola. Mangoes are often prepared charred in Hawaii. Mango is used to make juices, smoothies, ice cream, fruit bars, raspados, aguas frescas, pies, and sweet chili sauce, or mixed with chamoy, a sweet and spicy chili paste. It is popular on a stick dipped in hot chili powder and salt or as a main ingredient in fresh fruit combinations. In Central America, mango is either eaten green mixed with salt, vinegar, black pepper, and hot sauce, or ripe in various forms. Pieces of mango can be mashed and used as a topping on ice cream or blended with milk and ice as milkshakes. Sweet glutinous rice is flavored with coconut, then served with sliced mango as a dessert. In other parts of Southeast Asia, mangoes are pickled with fish sauce and rice vinegar. Green mangoes can be used in mango salad with fish sauce and dried shrimp. Mango with condensed milk may be used as a topping for shaved ice. Raw green mangoes can be sliced and eaten like a salad.[38] In most parts of Southeast Asia, they are commonly eaten with fish sauce, vinegar, soy sauce, or with a dash of salt (plain or spicy) � a combination usually known as ""mango salad"" in English."
Organic Maize',"Raw, yellow, sweet maize kernels are composed of 76% water, 19% carbohydrates, 3% protein, and 1% fat (table). In a 100-gram serving, maize kernels provide 86 calories and are a good source (10�19% of the Daily Value) of the B vitamins, thiamin, niacin (but see Pellagra warning below), pantothenic acid (B5) and folate (right table for raw, uncooked kernels, USDA Nutrient Database). In moderate amounts, they also supply dietary fiber and the essential minerals, magnesium and phosphorus whereas other nutrients are in low amounts. Maize has suboptimal amounts of the essential amino acids tryptophan and lysine, which accounts for its lower status as a protein source.[138] However, the proteins of beans and legumes complement those of maize"
Organic Peruvian Groundcherry',"Estimates for the earliest use of Physalis for human consumption range from 900BCE to 5000BCE. Archaeological sites support the historical use of Physalis as a food for indigenous people in what is now northern Mexico and portions of the United States. Physalis fruit are rich in cryptoxanthin. The fruit can be used like the tomato. Once extracted from its husk, it can be eaten raw and used in salads. Some varieties are added to desserts, used as flavoring, made into fruit preserves, or dried and used like raisins. They contain pectin and can be used in pie filling. Ground cherries are called poha in the Hawaiian language, and poha jam and preserves are traditional desserts made from Physalis plants grown on the Hawaiian Islands. Physalis plants grow in most soil types and do very well in poor soils and in pots. They require moisture until fruiting. Plants are susceptible to many of the common tomato diseases and pests, and other pests such as aphids, whiteflies, spider mites, and the false potato beetle (Leptinotarsa juncta) also attack them. Propagation is by seed."
